Computer	Share	IsEveryoneAllowed	IsCurrentUserAllowed
TERM-LICENSE-01.elal.co.il	ADMIN$	False	False
TERM-LICENSE-01.elal.co.il	C$	False	False
TERM-LICENSE-01.elal.co.il	print$	True	True
LY090124.elal.co.il	ADMIN$	False	False
LY090124.elal.co.il	C$	False	False
ELAL-CA.elal.co.il	ADMIN$	False	False
ELAL-CA.elal.co.il	C$	False	False
ELAL-CA.elal.co.il	CertEnroll	True	True
ELAL-CA.elal.co.il	print$	True	True
JBOSS-MGT.elal.co.il	ADMIN$	False	False
JBOSS-MGT.elal.co.il	C$	False	False
JBOSS-MGT.elal.co.il	D$	False	False
JBOSS-MGT.elal.co.il	print$	True	True
DC-02.elal.co.il	ADMIN$	False	False
DC-02.elal.co.il	C$	False	False
DC-02.elal.co.il	NETLOGON	True	True
DC-02.elal.co.il	netlogon_debug	False	False
DC-02.elal.co.il	P$	False	False
DC-02.elal.co.il	SYSVOL	True	True
DC-05.elal.co.il	ADMIN$	False	False
DC-05.elal.co.il	C$	False	False
DC-05.elal.co.il	NETLOGON	True	True
DC-05.elal.co.il	netlogon_debug	False	False
DC-05.elal.co.il	P$	False	False
DC-05.elal.co.il	SYSVOL	True	True
IIS-SP-MGM.elal.co.il	ad$	False	False
IIS-SP-MGM.elal.co.il	ADMIN$	False	False
IIS-SP-MGM.elal.co.il	Analytics_efd51882-339b-4af8-8b49-31110b232dd4	False	False
IIS-SP-MGM.elal.co.il	C$	False	False
IIS-SP-MGM.elal.co.il	D$	False	False
IIS-SP-MGM.elal.co.il	E$	False	False
IIS-SP-MGM.elal.co.il	print$	True	True
IIS-TEST-02.elal.co.il	ADMIN$	False	False
IIS-TEST-02.elal.co.il	Alon$	False	False
IIS-TEST-02.elal.co.il	AQDTestLogin	False	False
IIS-TEST-02.elal.co.il	C$	False	False
IIS-TEST-02.elal.co.il	D$	False	False
IIS-TEST-02.elal.co.il	E$	False	False
IIS-TEST-02.elal.co.il	LBF$	False	False
IIS-TEST-02.elal.co.il	MokedShiftsManager$	False	False
IIS-TEST-02.elal.co.il	OLC	True	True
IIS-TEST-02.elal.co.il	Roman$	True	True
IIS-TEST-02.elal.co.il	VisaTest$	False	False
LY087684.elal.co.il	ADMIN$	False	False
LY087684.elal.co.il	C$	False	False
LY087684.elal.co.il	print$	True	True
LY091135.elal.co.il	ADMIN$	False	False
LY091135.elal.co.il	C$	False	False
SCCM-02.elal.co.il	ADMIN$	False	False
SCCM-02.elal.co.il	AdminUIContentPayload	False	False
SCCM-02.elal.co.il	C$	False	False
SCCM-02.elal.co.il	D$	False	False
SCCM-02.elal.co.il	Drivers	True	True
SCCM-02.elal.co.il	E$	False	False
SCCM-02.elal.co.il	EasySetupPayload	False	False
SCCM-02.elal.co.il	F$	False	False
SCCM-02.elal.co.il	G$	False	False
SCCM-02.elal.co.il	I$	False	False
SCCM-02.elal.co.il	print$	True	True
SCCM-02.elal.co.il	REMINST	True	True
SCCM-02.elal.co.il	SCCMContentLib$	True	True
SCCM-02.elal.co.il	SCCMContentLibD$	True	True
SCCM-02.elal.co.il	SMPSTOREI_AC8E90BD$	False	False
SCCM-02.elal.co.il	SMSPKGD$	True	True
SCCM-02.elal.co.il	SMSPKGE$	True	True
SCCM-02.elal.co.il	SMSSIG$	True	True
SCCM-02.elal.co.il	SMS_CPSD$	False	False
SCCM-02.elal.co.il	SMS_DP$	False	False
SCCM-02.elal.co.il	SMS_LY1	False	False
SCCM-02.elal.co.il	SMS_OCM_DATACACHE	False	False
SCCM-02.elal.co.il	SMS_SITE	False	False
SCCM-02.elal.co.il	SMS_SUIAgent	False	False
SCCM-02.elal.co.il	Softwareupdates$	True	True
SCCM-02.elal.co.il	Sources$	True	True
SCCM-02.elal.co.il	UpdateServicesPackages	True	True
SCCM-02.elal.co.il	WsusContent	True	True
SCCM-02.elal.co.il	WSUSTemp	False	False
EX-03.elal.co.il	address	True	True
EX-03.elal.co.il	ADMIN$	False	False
EX-03.elal.co.il	C$	False	False
EX-03.elal.co.il	D$	False	False
EX-03.elal.co.il	E$	False	False
EX-01.elal.co.il	address	True	True
EX-01.elal.co.il	ADMIN$	False	False
EX-01.elal.co.il	C$	False	False
EX-01.elal.co.il	D$	False	False
EX-01.elal.co.il	E$	False	False
EX-01.elal.co.il	ruby	True	True
LY094175.elal.co.il	ADMIN$	False	False
LY094175.elal.co.il	C$	False	False
LY094175.elal.co.il	print$	True	True
LY094159.elal.co.il	ADMIN$	False	False
LY094159.elal.co.il	C$	False	False
ly087142.elal.co.il	ADMIN$	False	False
ly087142.elal.co.il	C$	False	False
LY090577.elal.co.il	ADMIN$	False	False
LY090577.elal.co.il	C$	False	False
ly087774.elal.co.il	ADMIN$	False	False
ly087774.elal.co.il	C$	False	False
ly097929.elal.co.il	ADMIN$	False	False
ly097929.elal.co.il	C$	False	False
ly083431.elal.co.il	ADMIN$	False	False
ly083431.elal.co.il	C$	False	False
ly083431.elal.co.il	print$	True	True
ly083459.elal.co.il	ADMIN$	False	False
ly083459.elal.co.il	C$	False	False
ly083459.elal.co.il	print$	True	True
ly083353.elal.co.il	ADMIN$	False	False
ly083353.elal.co.il	C$	False	False
ly083296.elal.co.il	ADMIN$	False	False
ly083296.elal.co.il	C$	False	False
ly097933.elal.co.il	ADMIN$	False	False
ly097933.elal.co.il	C$	False	False
ly083328.elal.co.il	ADMIN$	False	False
ly083328.elal.co.il	C$	False	False
ly083457.elal.co.il	ADMIN$	False	False
ly083457.elal.co.il	C$	False	False
ly083264.elal.co.il	ADMIN$	False	False
ly083264.elal.co.il	C$	False	False
ly087391.elal.co.il	ADMIN$	False	False
ly087391.elal.co.il	C$	False	False
ly087391.elal.co.il	print$	True	True
LY083234.elal.co.il	ADMIN$	False	False
LY083234.elal.co.il	C$	False	False
LY083161.elal.co.il	ADMIN$	False	False
LY083161.elal.co.il	C$	False	False
ly083248.elal.co.il	ADMIN$	False	False
ly083248.elal.co.il	C$	False	False
ly083248.elal.co.il	print$	True	True
ly083213.elal.co.il	ADMIN$	False	False
